[2023-12-05 22:22:27,350] INFO [Controller id=0 epoch=2] Sending UpdateMetadata request to brokers HashSet() for 0 partitions (state.change.logger)
[2023-12-05 22:27:02,543] INFO [Broker id=0] Leader __consumer_offsets-16 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,547] INFO [Broker id=0] Leader __consumer_offsets-2 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,551] INFO [Broker id=0] Leader incoming-videos-0 with topic id Some(jRW8uywPQFWJXqtgpuqjOA) starts at leader epoch 0 from offset 5 with partition epoch 0, high watermark 5, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,551] INFO [Broker id=0] Leader __consumer_offsets-25 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,555] INFO [Broker id=0] Leader __consumer_offsets-40 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,559] INFO [Broker id=0] Leader processed-videos-0 with topic id Some(A3MLQx-KQHqc32Pi9Ncnug) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,562] INFO [Broker id=0] Leader __consumer_offsets-47 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,565] INFO [Broker id=0] Leader __consumer_offsets-17 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,568] INFO [Broker id=0] Leader __consumer_offsets-32 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,572] INFO [Broker id=0] Leader __consumer_offsets-37 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,576] INFO [Broker id=0] Leader __consumer_offsets-7 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,576] INFO [Broker id=0] Leader __consumer_offsets-22 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,580] INFO [Broker id=0] Leader __consumer_offsets-29 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,584] INFO [Broker id=0] Leader __consumer_offsets-44 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,591] INFO [Broker id=0] Leader __consumer_offsets-14 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,600] INFO [Broker id=0] Leader __consumer_offsets-23 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,603] INFO [Broker id=0] Leader __consumer_offsets-38 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,607] INFO [Broker id=0] Leader __consumer_offsets-8 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,610] INFO [Broker id=0] Leader __consumer_offsets-45 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,614] INFO [Broker id=0] Leader __consumer_offsets-15 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 162 with partition epoch 0, high watermark 162, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,615] INFO [Broker id=0] Leader __consumer_offsets-30 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,619] INFO [Broker id=0] Leader __consumer_offsets-0 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,624] INFO [Broker id=0] Leader __consumer_offsets-35 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
