[2024-04-08 13:33:09,671] INFO [Broker id=0] Leader __consumer_offsets-16 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,674] INFO [Broker id=0] Leader __consumer_offsets-2 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,678] INFO [Broker id=0] Leader incoming-videos-0 with topic id Some(DMZ2Q_L_TCmKA4W8xTWXQQ) starts at leader epoch 0 from offset 1 with partition epoch 0, high watermark 1, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,678] INFO [Broker id=0] Leader __consumer_offsets-25 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,683] INFO [Broker id=0] Leader __consumer_offsets-40 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,688] INFO [Broker id=0] Leader processed-videos-0 with topic id Some(8o6ABtYQQYmm0HUgck4P9A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,691] INFO [Broker id=0] Leader __consumer_offsets-47 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,696] INFO [Broker id=0] Leader __consumer_offsets-17 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,699] INFO [Broker id=0] Leader __consumer_offsets-32 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,704] INFO [Broker id=0] Leader __consumer_offsets-37 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,708] INFO [Broker id=0] Leader __consumer_offsets-7 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,711] INFO [Broker id=0] Leader __consumer_offsets-22 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,716] INFO [Broker id=0] Leader __consumer_offsets-29 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,720] INFO [Broker id=0] Leader __consumer_offsets-44 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,723] INFO [Broker id=0] Leader __consumer_offsets-14 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,728] INFO [Broker id=0] Leader __consumer_offsets-23 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,732] INFO [Broker id=0] Leader __consumer_offsets-38 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,737] INFO [Broker id=0] Leader __consumer_offsets-8 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,741] INFO [Broker id=0] Leader __consumer_offsets-45 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,745] INFO [Broker id=0] Leader __consumer_offsets-15 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 2 with partition epoch 0, high watermark 2, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,745] INFO [Broker id=0] Leader __consumer_offsets-30 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,749] INFO [Broker id=0] Leader __consumer_offsets-0 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,753] INFO [Broker id=0] Leader __consumer_offsets-35 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,757] INFO [Broker id=0] Leader __consumer_offsets-5 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,762] INFO [Broker id=0] Leader __consumer_offsets-20 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,766] INFO [Broker id=0] Leader __consumer_offsets-27 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,769] INFO [Broker id=0] Leader __consumer_offsets-42 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,772] INFO [Broker id=0] Leader __consumer_offsets-12 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,776] INFO [Broker id=0] Leader __consumer_offsets-21 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,780] INFO [Broker id=0] Leader __consumer_offsets-36 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,783] INFO [Broker id=0] Leader __consumer_offsets-6 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,788] INFO [Broker id=0] Leader __consumer_offsets-43 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,792] INFO [Broker id=0] Leader __consumer_offsets-13 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,796] INFO [Broker id=0] Leader __consumer_offsets-28 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,811] INFO [Broker id=0] Finished LeaderAndIsr request in 232ms correlationId 1 from controller 0 for 52 partitions (state.change.logger)
[2024-04-08 13:33:09,816] INFO [Broker id=0] Add 52 partitions and deleted 0 partitions from metadata cache in response to UpdateMetadata request sent by controller 0 epoch 2 with correlation id 2 (state.change.logger)
